_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hedge,orig_hedge,hedge_gold,sentence,usage1,usage2
589156210,11/11/2014 19:20:21,true,1463262783,,11/11/2014 19:19:10,false,clixsense,1.0,21464831,ARG,06,Corrientes,190.183.41.123,yes,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156210,11/11/2014 19:24:34,true,1463268167,,11/11/2014 19:19:24,false,neodev,1.0,21628557,MEX,09,Mexico,189.217.25.145,yes,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156210,11/11/2014 19:24:57,true,1463268808,,11/11/2014 19:23:36,false,neodev,1.0,11701575,ESP,54,Rielves,88.11.46.28,yes,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156210,11/12/2014 02:26:21,true,1463712596,,11/12/2014 02:23:49,false,gifthunterclub,1.0,21110164,CHL,12,Santiago,186.79.4.18,yes,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156210,11/16/2014 00:40:51,true,1468771357,,11/16/2014 00:39:19,false,clixsense,1.0,14529443,MEX,08,Colima,201.138.170.20,yes,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156211,11/11/2014 19:22:35,true,1463265557,true,11/11/2014 19:16:26,false,globalactioncash,1.0,12536629,ESP,60,Castellón,188.77.58.203,no,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156211,11/11/2014 19:39:54,true,1463288015,true,11/11/2014 19:37:18,false,neodev,1.0,19529259,ESP,51,Beas,79.150.34.135,no,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156211,11/12/2014 02:13:56,true,1463697996,,11/12/2014 02:12:02,false,clixsense,1.0,6591664,MEX,09,Mexico,189.217.25.145,yes,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156211,11/15/2014 23:29:34,true,1468711170,,11/15/2014 23:28:27,false,clixsense,1.0,18569114,ESP,51,Cadiz,84.122.22.184,yes,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156211,11/15/2014 23:52:54,true,1468730831,,11/15/2014 23:51:44,false,neodev,1.0,18768786,ARG,01,Necochea,200.89.154.130,yes,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
