hedge,sentence,gold,hedge_gold,worker_id,hedge_judgement
sin duda,"Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.",TRUE,TRUE,A8PI5IDB1JWDL,TRUE
particularmente,"Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
probablemente,"Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
frecuentemente,"De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
supongo,"Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
basicamente,"en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
poco,"Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.",FALSE,FALSE,A8PI5IDB1JWDL,FALSE
aparentemente,Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).,FALSE,FALSE,A8PI5IDB1JWDL,TRUE
puede,"Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.",FALSE,FALSE,A8PI5IDB1JWDL,TRUE
casi,Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.,FALSE,FALSE,A8PI5IDB1JWDL,FALSE
sin duda,"Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.",TRUE,TRUE,ACM35WAJGNTJC,TRUE
particularmente,"Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.",FALSE,FALSE,ACM35WAJGNTJC,FALSE
probablemente,"Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).",FALSE,FALSE,ACM35WAJGNTJC,FALSE
frecuentemente,"De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.",FALSE,FALSE,ACM35WAJGNTJC,TRUE
supongo,"Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.",FALSE,FALSE,ACM35WAJGNTJC,TRUE
basicamente,"en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...",FALSE,FALSE,ACM35WAJGNTJC,TRUE
poco,"Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.",FALSE,FALSE,ACM35WAJGNTJC,FALSE
aparentemente,Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).,FALSE,FALSE,ACM35WAJGNTJC,TRUE
puede,"Esta que expones es una tonica muy comun en la generalidad, pero el humanismo es innato y terminas por sufrir por y para ayudar a los demas, porque X grupo/persona te la <strong>puede</strong> pelar, y de la misma manera tambien Y, pero siempre encuentras a alguien que lo merece (de eso se trata), y si no lo haces, el que no merece vivir eres tu mismo.",FALSE,FALSE,ACM35WAJGNTJC,TRUE
casi,Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto <strong>casi</strong> inerte.,FALSE,FALSE,ACM35WAJGNTJC,FALSE
sin duda,"Hemos hablado también de asesinato, de cuando son personas los niños... pero <strong>sin duda</strong> a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.",TRUE,TRUE,A3OFOYB4X0HA0M,TRUE
particularmente,"Yo, <strong>particularmente</strong> estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.",FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
probablemente,"Sobre la inteligencia, una vez existe la cultura la inteligencia de una sociedad queda parcialmente desligada de la su genética, pues esta dispone de una herramienta ajena a ella (sí, una ""raza"" podria adoptar la cultura de otra y <strong>probablemente </strong>los roles de superioridad intelectual se verían invertidos), la cultura se convierte en un handicap, un gimnasio cerebral para pdoer desarrollar inteligencia (la cual no es nata por lo que no pertenece a la base genética), pero esta inteligencia desarrollada, no va a influir practicamente en la descendencia, sólo la hará desarrollar la suya mas rápido (pues su ambiente es más avanzado que el de su ascendencia).",FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
frecuentemente,"De hecho, que nos sintamos felices o desdichados en un momento determinado <strong>frecuentemente</strong> tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.",FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
supongo,"Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero <strong>supongo</strong> que es inevitable y yo los he tenido.",FALSE,FALSE,A3OFOYB4X0HA0M,TRUE
basicamente,"en cuanto a las facetas fundamentales de la existencia objeto de su interés, atienden <strong>basicamente</strong> a la dimensión de la finitud en el mundo humano: la temporalidad, la muerte, la culpa, la fragilidad de la existencia, la responsabilidad, el compromiso, la autenticidad, la subjetividad, la libertad,...",FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
poco,"Cree lo que quieras, realmente me importa <strong>poco</strong> y nada lo que pienses fuera del foro.",FALSE,FALSE,A3OFOYB4X0HA0M,TRUE
aparentemente,Los animales poseen sentimientos e inteligencia (no a nuestro nivel <strong>aparentemente</strong>).,FALSE,FALSE,A3OFOYB4X0HA0M,FALSE
